仕業番号,仕業開始駅,仕業終了駅,便名,始発駅,終着駅,発時刻,着時刻,trip_id
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,06:19:00,06:36:00,平日_06時19分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,06:39:00,06:58:00,平日_06時39分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,07:03:30,07:21:30,平日_07時03分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,07:24:00,07:43:30,平日_07時24分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,07:43:30,08:01:00,平日_07時43分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,08:04:00,08:23:00,平日_08時04分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,08:23:30,08:41:00,平日_08時23分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,08:46:30,09:06:00,平日_08時46分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,09:06:00,09:23:30,平日_09時06分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,09:29:00,09:48:30,平日_09時29分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,09:53:30,10:11:00,平日_09時53分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,10:16:00,10:36:00,平日_10時16分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,10:43:30,11:01:00,平日_10時43分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,11:06:00,11:26:00,平日_11時06分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,11:33:30,11:51:30,平日_11時33分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,11:56:00,12:16:00,平日_11時56分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,12:23:30,12:41:30,平日_12時23分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,12:46:00,13:06:00,平日_12時46分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,13:13:30,13:31:00,平日_13時13分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,13:36:00,13:56:00,平日_13時36分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,14:03:30,14:21:00,平日_14時03分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,14:26:00,14:46:00,平日_14時26分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,14:53:30,15:11:00,平日_14時53分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,15:16:00,15:36:00,平日_15時16分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,15:43:30,16:01:00,平日_15時43分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,16:04:00,16:23:00,平日_16時04分_系統18160
