仕業番号,仕業開始駅,仕業終了駅,便名,始発駅,終着駅,発時刻,着時刻,trip_id
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,13:13:30,13:31:00,土日祝_13時13分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,13:34:00,13:53:30,土日祝_13時34分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,13:58:30,14:16:00,土日祝_13時58分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,14:19:00,14:38:30,土日祝_14時19分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,14:43:30,15:01:00,土日祝_14時43分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,15:04:00,15:23:30,土日祝_15時04分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,15:28:30,15:46:00,土日祝_15時28分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,15:49:00,16:08:00,土日祝_15時49分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,16:13:30,16:31:00,土日祝_16時13分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,16:34:00,16:53:30,土日祝_16時34分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,16:58:30,17:16:00,土日祝_16時58分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,17:19:00,17:38:00,土日祝_17時19分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,17:43:30,18:01:00,土日祝_17時43分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,18:04:00,18:23:30,土日祝_18時04分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋車庫（はりまや橋 経由）,高知駅前,桟橋車庫前,18:28:30,18:44:30,土日祝_18時28分_系統16170
,,,,,,,,
6仕業,鏡川橋,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,06:06:30,07:00:00,土日祝_06時06分_系統11011
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,07:03:00,07:59:00,土日祝_07時03分_系統1110
6仕業,鏡川橋,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,08:04:00,08:59:30,土日祝_08時04分_系統11011
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,09:00:00,09:57:00,土日祝_09時00分_系統1110
6仕業,鏡川橋,後免町,文珠通（はりまや橋 経由）,鏡川橋,文珠通,10:01:30,10:35:00,土日祝_10時01分_系統11060
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,10:45:00,11:19:00,土日祝_10時45分_系統6110
6仕業,鏡川橋,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,11:19:00,12:14:30,土日祝_11時19分_系統11011
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,12:22:30,13:19:00,土日祝_12時22分_系統1110
6仕業,鏡川橋,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,13:19:00,14:14:30,土日祝_13時19分_系統11011
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,14:27:00,15:23:30,土日祝_14時27分_系統1110
6仕業,鏡川橋,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,15:29:00,16:24:30,土日祝_15時29分_系統11011
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,16:34:30,17:31:30,土日祝_16時34分_系統1110
6仕業,鏡川橋,後免町,文珠通（はりまや橋 経由）,鏡川橋,文珠通,17:36:30,18:10:00,土日祝_17時36分_系統11060
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,18:17:30,18:51:00,土日祝_18時17分_系統6110
6仕業,鏡川橋,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,18:56:30,19:52:00,土日祝_18時56分_系統11011
6仕業,鏡川橋,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,20:15:00,21:10:30,土日祝_20時15分_系統1110
6仕業,鏡川橋,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,21:22:00,22:17:00,土日祝_21時22分_系統11011
,,,,,,,,
7仕業,桟橋通四丁目,桟橋車庫前,知寄町（はりまや橋 経由）,桟橋通四丁目,知寄町,06:13:00,06:35:30,土日祝_06時13分_系統17070
7仕業,桟橋通四丁目,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,知寄町,伊野,06:41:30,07:38:00,土日祝_06時41分_系統7150
7仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,07:44:00,08:45:00,土日祝_07時44分_系統15060
7仕業,桟橋通四丁目,桟橋車庫前,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,08:50:00,09:50:00,土日祝_08時50分_系統6150
7仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,伊野,文珠通,09:55:00,10:55:00,土日祝_09時55分_系統15060
7仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,11:05:00,11:38:30,土日祝_11時05分_系統6110
7仕業,桟橋通四丁目,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,11:39:00,12:34:30,土日祝_11時39分_系統11011
7仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,12:42:30,13:39:00,土日祝_12時42分_系統1110
7仕業,桟橋通四丁目,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,13:39:00,14:34:30,土日祝_13時39分_系統11011
7仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,14:47:30,15:44:00,土日祝_14時47分_系統1110
7仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,15:44:00,16:17:30,土日祝_15時44分_系統11060
7仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,16:25:00,16:59:00,土日祝_16時25分_系統6110
7仕業,桟橋通四丁目,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,17:09:00,18:05:00,土日祝_17時09分_系統11011
7仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,18:05:00,19:01:30,土日祝_18時05分_系統1110
7仕業,桟橋通四丁目,桟橋車庫前,桟橋車庫（はりまや橋 経由）,鏡川橋,桟橋車庫前,19:04:00,19:36:30,土日祝_19時04分_系統11170
,,,,,,,,
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,06:14:30,06:31:00,土日祝_06時14分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,06:36:00,06:53:30,土日祝_06時36分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,06:56:30,07:16:00,土日祝_06時56分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,07:21:30,07:39:00,土日祝_07時21分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,07:41:30,08:01:00,土日祝_07時41分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,08:06:00,08:24:00,土日祝_08時06分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,08:26:30,08:46:00,土日祝_08時26分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,08:51:30,09:09:00,土日祝_08時51分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,09:11:30,09:31:00,土日祝_09時11分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,09:36:30,09:54:00,土日祝_09時36分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,09:56:30,10:16:00,土日祝_09時56分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,10:21:30,10:39:00,土日祝_10時21分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,10:41:30,11:01:00,土日祝_10時41分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,11:06:30,11:24:00,土日祝_11時06分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,11:26:30,11:46:00,土日祝_11時26分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,11:51:30,12:09:00,土日祝_11時51分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,12:11:30,12:31:00,土日祝_12時11分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,12:36:30,12:54:00,土日祝_12時36分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,12:56:30,13:16:00,土日祝_12時56分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,13:21:30,13:39:00,土日祝_13時21分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,13:41:30,14:01:00,土日祝_13時41分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,14:06:30,14:24:00,土日祝_14時06分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,14:26:30,14:46:00,土日祝_14時26分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,14:51:30,15:09:00,土日祝_14時51分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,15:11:30,15:31:00,土日祝_15時11分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,15:36:30,15:54:00,土日祝_15時36分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,15:56:30,16:16:00,土日祝_15時56分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,16:21:30,16:39:00,土日祝_16時21分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,16:41:30,17:01:00,土日祝_16時41分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,17:06:30,17:24:00,土日祝_17時06分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,17:26:30,17:46:00,土日祝_17時26分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,17:51:30,18:09:00,土日祝_17時51分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,18:11:30,18:31:00,土日祝_18時11分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,18:36:30,18:54:00,土日祝_18時36分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,18:56:30,19:16:00,土日祝_18時56分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,19:23:30,19:41:00,土日祝_19時23分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,19:44:00,20:03:30,土日祝_19時44分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,20:08:30,20:26:00,土日祝_20時08分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,20:31:30,20:51:00,土日祝_20時31分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,20:56:00,21:12:00,土日祝_20時56分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,21:16:30,21:35:00,土日祝_21時16分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋車庫（はりまや橋 経由）,高知駅前,桟橋車庫前,21:40:00,21:52:30,土日祝_21時40分_系統16170
,,,,,,,,
9仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,06:17:30,07:14:00,土日祝_06時17分_系統1110
9仕業,後免町,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,07:19:00,08:14:30,土日祝_07時19分_系統11011
9仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,08:17:30,09:14:00,土日祝_08時17分_系統1110
9仕業,後免町,桟橋車庫前,桟橋車庫（はりまや橋 経由）,鏡川橋,桟橋車庫前,09:21:30,09:54:00,土日祝_09時21分_系統11170
,,,,,,,,
10仕業,桟橋通四丁目,鏡川橋,鏡川橋（はりまや橋 経由）,桟橋通四丁目,鏡川橋,06:18:00,06:47:00,土日祝_06時18分_系統17110
10仕業,桟橋通四丁目,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,06:54:00,07:49:30,土日祝_06時54分_系統11011
10仕業,桟橋通四丁目,鏡川橋,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,07:55:00,08:51:30,土日祝_07時55分_系統1110
10仕業,桟橋通四丁目,鏡川橋,文珠通（はりまや橋 経由）,鏡川橋,文珠通,08:51:30,09:25:00,土日祝_08時51分_系統11060
